,Date,Index,Z_Score,threshold,MA,phase
109,1974-01-31,100.7899,-0.5449927880045762,0,0.30876271374948316,slowdown
110,1974-02-28,100.4889,-0.7825114221780582,0,0.044788252240222926,slowdown
111,1974-03-31,100.1643,-1.0424774236337515,0,-0.21139284011713463,contraction
112,1974-04-30,99.80753,-1.3230306595855794,0,-0.46270977875773617,contraction
113,1974-05-31,99.41526999999999,-1.6138005061670158,0,-0.7105633727790407,contraction
114,1974-06-30,98.98615,-1.898585502735373,0,-0.9558708164285922,contraction
115,1974-07-31,98.52646,-2.154552430369153,0,-1.21049443184369,contraction
116,1974-08-31,98.04307,-2.3635018057993293,0,-1.4654315673091063,contraction
117,1974-09-30,97.55856,-2.5077303090432737,0,-1.7107737574389434,contraction
118,1974-10-31,97.11665,-2.57373424972905,0,-1.9346766108828173,contraction
119,1974-11-30,96.76222,-2.563248365241959,0,-2.124772978583843,contraction
120,1974-12-31,96.53676999999999,-2.486561544680981,0,-2.270214339220768,contraction
121,1975-01-31,96.47173000000001,-2.3564763768592827,0,-2.3630488230573015,contraction
122,1975-02-28,96.55669,-2.1944172968000997,0,-2.4000277973153925,contraction
123,1975-03-31,96.76884,-2.015503380186024,0,-2.382646666042501,recovery
124,1975-04-30,97.07874,-1.814323828274357,0,-2.3139994188518793,recovery
125,1975-05-31,97.45145,-1.5177344175955347,0,-2.1902499324209117,recovery
126,1975-06-30,97.85797,-1.225801325865022,0,-2.021758316937908,recovery
127,1975-07-31,98.27804,-0.9393491947336261,0,-1.8187709206243665,recovery
128,1975-08-31,98.69901999999999,-0.6516060438888709,0,-1.5894014830253527,recovery
129,1975-09-30,99.11724,-0.3525057323321789,0,-1.3389051524594648,recovery
130,1975-10-31,99.52158,-0.05920987817944355,0,-1.0720042251318826,recovery
131,1975-11-30,99.90337,0.10158000771763713,0,-0.8073688016439251,recovery
132,1975-12-31,100.2549,0.25937081824521196,0,-0.5481569708289791,recovery
133,1976-01-31,100.557,0.4067929479331301,0,-0.307591050137896,recovery
134,1976-02-29,100.7916,0.5341246790917157,0,-0.08760029951830381,recovery
135,1976-03-31,100.9533,0.6352162317725615,0,0.10922037879496964,expansion
136,1976-04-30,101.0494,0.7088842127554211,0,0.27928166087550615,expansion
137,1976-05-31,101.0864,0.7537947658217697,0,0.4175692231447497,expansion
138,1976-06-30,101.0754,0.771997800552564,0,0.5214701829862507,expansion
139,1976-07-31,101.0282,0.7673228048239634,0,0.6046880326245414,expansion
140,1976-08-31,100.9552,0.7441340426153462,0,0.6652834356708083,expansion
141,1976-09-30,100.8752,0.7125063366132659,0,0.7034976092558252,expansion
142,1976-10-31,100.8077,0.683879775699525,0,0.7222169963318014,expansion
143,1976-11-30,100.766,0.6664342701382149,0,0.726119251127508,expansion
144,1976-12-31,100.7441,0.6570574102508175,0,0.7196409008144324,slowdown
145,1977-01-31,100.7266,0.6470625952403102,0,0.70629937949175,slowdown
146,1977-02-28,100.7031,0.630814603923358,0,0.6886514799130994,slowdown
147,1977-03-31,100.6689,0.6063128544600738,0,0.6685252361176132,slowdown
148,1977-04-30,100.6209,0.5440968800621778,0,0.6435205907984671,slowdown
149,1977-05-31,100.5712,0.29233748773757645,0,0.590999484689006,slowdown
150,1977-06-30,100.5275,0.08045669935540914,0,0.5155716001459915,slowdown
151,1977-07-31,100.5025,-0.007360473791894219,0,0.4313472571547279,slowdown
152,1977-08-31,100.5022,-0.007569990640783832,0,0.34826883204327774,slowdown
153,1977-09-30,100.5254,-0.0006300800644478872,0,0.267307247630183,slowdown
