,Return,APINFLATION,APRGDP,phase_GDP,phase_INFLATION,phase,Date
2000-11-30,-1.1091162045996805,2.070155261644506,2.4915583576452183,Stable,Stable,StableStable,2000-11-30
2000-12-31,-8.326390744612278,2.7554535017221977,2.4915583576452183,Stable,Stable,StableStable,2000-12-31
2001-01-31,1.1822702331961477,6.872852233676976,2.4915583576452183,Stable,High,StableHigh,2001-01-31
2001-02-28,3.2774383785661554,2.733485193621907,-1.1407106184334357,Low,Stable,LowStable,2001-02-28
2001-03-31,-9.549008507880242,0.681818181818143,-1.1407106184334357,Low,Low,LowLow,2001-03-31
2001-04-30,-8.335752122487483,2.044293015332275,-1.1407106184334357,Low,Stable,LowStable,2001-04-30
2001-05-31,10.600843080211364,6.122448979591875,2.338223160340235,Stable,High,StableHigh,2001-05-31
2001-06-30,-0.29882527668180225,2.7072758037223497,2.338223160340235,Stable,Stable,StableStable,2001-06-30
2001-07-31,-1.7112808133743718,-2.025886325267189,2.338223160340235,Stable,Low,StableLow,2001-07-31
2001-08-31,-1.7556833744179712,0.0,-1.6601523731156043,Low,Low,LowLow,2001-08-31
2001-09-30,-5.692008884180389,4.735062006764297,-1.6601523731156043,Low,High,LowHigh,2001-09-30
2001-10-31,-7.899923139078857,-3.3688938798427848,-1.6601523731156043,Low,Low,LowLow,2001-10-31
2001-11-30,4.307494784143806,-0.6756756756756372,1.0894854910430827,Low,Low,LowLow,2001-11-30
2001-12-31,3.8085566872839482,-0.6760563380281306,1.0894854910430827,Low,Low,LowLow,2001-12-31
2002-01-31,1.8655389115054932,2.029312288613188,1.0894854910430827,Low,Stable,LowStable,2002-01-31
2002-02-28,-1.9497148178326151,2.0258863252673813,3.498056865147107,High,Stable,HighStable,2002-02-28
2002-03-31,1.1238400506519364,3.3707865168539324,3.498056865147107,High,High,HighHigh,2002-03-31
2002-04-30,1.5838697685339076,5.3781512605042785,3.498056865147107,High,High,HighHigh,2002-04-30
2002-05-31,-3.8136695012375044,1.3385387618515692,2.422930145117531,Stable,Low,StableLow,2002-05-31
2002-06-30,-4.010933448141207,0.6685236768801849,2.422930145117531,Stable,Low,StableLow,2002-06-30
2002-07-31,-6.9019828728186905,2.6726057906459175,2.422930145117531,Stable,Stable,StableStable,2002-07-31
2002-08-31,-7.558204674300306,3.3333333333333335,1.7782853316982945,Low,High,LowHigh,2002-08-31
2002-09-30,3.471178552382792,1.9944598337950894,1.7782853316982945,Low,Stable,LowStable,2002-09-30
2002-10-31,-6.712973808742917,2.6548672566370173,1.7782853316982945,Low,Stable,LowStable,2002-10-31
2002-11-30,5.09787672178903,1.9867549668874926,0.6192905459506827,Low,Stable,LowStable,2002-11-30
2002-12-31,2.6152614664102014,1.9834710743802404,0.6192905459506827,Low,Stable,LowStable,2002-12-31
2003-01-31,-4.756083362440333,5.280528052805169,0.6192905459506827,Low,High,LowHigh,2003-01-31
